checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
no,Cardinal Health - Wednesday,9:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 17:25:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-Oct,,A little,,Sports Car,NO,Very Important,Somewhat Important,Very Unimportant,Somewhat Important,Very Unimportant,Very Important,yes,no,no,,Tesla Model S
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-06 22:06:00.000,YES,Important,Very Important,Very Important,Very Important,20-Oct,,A little,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-06 22:10:00.000,YES,Somewhat Important,Very Important,Very Important,Very Important,20-30,N/A,Very much,Yes,SUV,NO,Important,Very Important,Important,Very Important,Very Important,Somewhat Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,10:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 00:15:00.000,NO,Unimportant,Somewhat Important,Important,Important,20-30,,Very much,,Sedan,NO,Somewhat Important,Very Important,Important,Very Important,Important,Somewhat Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Tuesday,4:00 PM,Driver,2,2018-06-12 00:00:00.000,2018-06-07 09:55:00.000,,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,yes,no,,Honda Clarity
yes,Cardinal Health - Tuesday,10:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-08 12:02:00.000,YES,Unimportant,Very Important,Very Important,Very Important,20-Oct,,Very much,,"SUV, Truck",NO,Very Important,Important,Somewhat Important,Very Important,Important,Somewhat Important,yes,yes,yes,,Honda Clarity
no,Cardinal Health - Tuesday,11:30 AM,Driver,2,2018-06-12 00:00:00.000,2018-06-07 11:19:00.000,,Somewhat Important,Important,Very Important,Very Important,60+,,A little,,"Sedan, SUV",NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Honda Clarity
no,Cardinal Health - Tuesday,3:00 PM,Driver,,2018-06-12 00:00:00.000,2018-06-08 14:01:00.000,YES,Somewhat Important,Somewhat Important,Very Important,Very Important,30-40,N/A,Very much,Yes,Sedan,NO,Important,Important,Important,Very Important,Important,Very Important,yes,no,no,,Honda Clarity
no,Cardinal Health - Tuesday,9:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-08 17:08:00.000,YES,Important,Very Important,Very Important,Very Important,20-30,,Very much,,I do not own a car,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Honda Clarity
yes,Cardinal Health - Wednesday,11:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-08 14:25:00.000,NO,Important,Somewhat Important,Important,Important,60+,N/A,Very much,Yes,"Sedan, Van, Truck",NO,Very Important,Very Important,Somewhat Important,Very Unimportant,Very Unimportant,Very Important,yes,yes,yes,,Honda Clarity
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-11 18:58:00.000,NO,Somewhat Important,Very Important,Important,Somewhat Important,30-40,,Very much,,Sedan,NO,Important,Very Important,Very Important,Important,Unimportant,Important,yes,yes,no,,Honda Clarity
yes,Cardinal Health - Wednesday,10:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-08 14:03:00.000,NO,Important,Very Important,Very Important,Very Important,20-Oct,N/A,Not at all,N/A,Sedan,NO,Very Important,Very Important,Important,Very Important,Important,Unimportant,yes,yes,no,,Mercedes GLE
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-12 13:06:00.000,NO,Unimportant,Important,Very Important,Important,30-40,,A little,,Sedan,NO,Important,Very Important,Very Important,Important,Important,Important,yes,yes,yes,,Mercedes GLE
yes,Cardinal Health - Wednesday,2:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 10:27:00.000,NO,Very Important,Important,Very Important,Very Important,30-40,,A little,,SUV,NO,Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Tesla Model S
yes,Cardinal Health - Tuesday,11:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 13:07:00.000,NO,Unimportant,Important,Important,Important,20-30,,Very much,,SUV,NO,Important,Important,Very Important,Important,Important,Important,yes,yes,yes,,Tesla Model S
yes,Cardinal Health - Tuesday,11:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 13:23:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-30,,Very much,,"Sedan, SUV",NO,Important,Very Important,Very Important,Very Important,Very Important,Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Tuesday,3:30 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 14:07:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Very Important,20-Oct,N/A,A little,Yes,SUV,NO,Very Important,Very Important,Somewhat Important,Very Important,Important,Very Important,yes,yes,yes,,Tesla Model S
no,Cardinal Health - Tuesday,12:30 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 09:53:00.000,YES,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,no,no,,Tesla Model S
no,Cardinal Health - Tuesday,9:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 14:08:00.000,NO,Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Very Important,Very Important,Somewhat Important,Very Important,Important,Important,yes,no,no,,Tesla Model S
yes,Cardinal Health - Wednesday,11:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:31:00.000,NO,Somewhat Important,Very Important,Very Important,Important,20-Oct,,Very much,,Sedan,NO,Important,Important,Important,Important,Somewhat Important,Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,3:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 14:13:00.000,NO,Somewhat Important,Important,Important,Important,30-40,N/A,A little,N/A,"Sedan, SUV",NO,Important,Important,Important,Important,Important,Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,9:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 15:00:00.000,NO,Very Important,Somewhat Important,Very Important,Somewhat Important,20-30,N/A,A little,Yes,Sports Car,NO,Important,Very Important,Important,Important,Unimportant,Very Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,11:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 15:02:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Important,20-30,N/A,A little,Yes,Sedan,NO,Important,Important,Important,Important,Important,Somewhat Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,2:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 15:32:00.000,NO,Important,Very Important,Very Important,Very Important,30-40,,Very much,,"Sedan, SUV",NO,Very Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,3:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-13 14:25:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Important,30-40,,A little,,SUV,NO,Important,Very Important,Important,Very Important,Somewhat Important,Somewhat Important,yes,yes,yes,,BMW 530e
yes,Cardinal Health - Wednesday,11:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-13 15:28:00.000,NO,Important,Important,Very Important,Important,20-Oct,,A little,,SUV,NO,Important,Very Important,Important,Important,Important,Important,yes,yes,yes,,BMW 530e
